Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена за метр;Цена за штуку;Стоимость ;Примечание ;Фото
Отлив ;коричневый;50;2500;2;100,00 ₽;250,00 ₽;500,00 ₽;;
Отлив;белый;70;900;7;120,00 ₽;108,00 ₽;756,00 ₽;;
Отлив;белый;180;460;60;230,00 ₽;105,80 ₽;6 348,00 ₽;;
Отлив;белый;70;1700;1;120,00 ₽;204,00 ₽;204,00 ₽;;
Отлив ;коричневый;100;3200;1;150,00 ₽;480,00 ₽;480,00 ₽;;
Отлив;белый;100;1900;2;150,00 ₽;285,00 ₽;570,00 ₽;;
Отлив;белый;170;2060;1;230,00 ₽;473,80 ₽;473,80 ₽;;
Отлив;белый;170;2200;2;230,00 ₽;506,00 ₽;1 012,00 ₽;;
Отлив;коричневый;180;700;2;230,00 ₽;161,00 ₽;322,00 ₽;;
Отлив;Антрацит;180;1300;1;230,00 ₽;299,00 ₽;299,00 ₽;;
Отлив;коричневый;200;3700;1;250,00 ₽;925,00 ₽;925,00 ₽;;
Козырек;белый;200;2000;2;250,00 ₽;500,00 ₽;1 000,00 ₽;;
Козырек;белый;300;2500;2;300,00 ₽;750,00 ₽;1 500,00 ₽;;
Заглушка отлива;белая;;;8;2,00 ₽;0,00 ₽;0,00 ₽;;
Заглушка отлива;серая;;;6;20,00 ₽;0,00 ₽;0,00 ₽;;
Заглушка отлива;коричневая;;;7;20,00 ₽;0,00 ₽;0,00 ₽;;
Итог;;;;;;;14 389,80 ₽;;
