Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Стеклодержатель CCR-53-SSS;;;;8;600,00 ₽;4 800,00 ₽;https://tcmo-pro.ru/krasnodar/konnektori-dlya-stekla/stekloderzhateli-dlya-ograzhdeniy/cr-053-konnektorstekloderzhatel-na-ploskost-504027mm.html;
Ручка для стеклянной двери ;Матовый хром;;;1;6 100,00 ₽;6 100,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura-dlya-steklyannih-mezhkomnatnih-dverey/zamki-dlya-steklyannih-dverey-s-nazhimnoy-ruchkoy/snd122-2111bmn-steklozamok.html;
Стекродержатель торцевой ;30-й;;;14;450,00 ₽;6 300,00 ₽;https://tcmo-pro.ru/krasnodar/konnektori-dlya-stekla/tochechnie-krepleniya/4-tochechnoe-kreplenie.html;
Конектор труба30*10 стена ;хром;;;1;400,00 ₽;400,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/konnektori-dlya-verhney-obvyazki/1-konnektor-stena--truba.html;
Конектор труба30*10 стена ;Матовый хром;;;2;400,00 ₽;800,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/konnektori-dlya-verhney-obvyazki/1-konnektor-stena--truba.html;
Конектор труба30*10 Стекло 90 градусов;хром;;;1;560,00 ₽;560,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/konnektori-dlya-verhney-obvyazki/konnektor-dlya-profilya-90-gr.html;
Профиль пластиковый для порога ;Душевые;;2300;4;153,00 ₽;612,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/uplotnitelniy-profil-pvh/114-009b1-6-profil-uplotnitelniy-6-mm-dlina-2200mm.html;
Порог для душевых;;;2500;1;810,00 ₽;810,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/profili-dlya-dushevih/snd2375-5-profil-porog-sindikat.html;
Магнитка прозрачная комплект ;180 градусов;;;8;1 150,00 ₽;9 200,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/uplotnitelniy-profil-pvh/sn314-008bw-8-profil-magnitniy-180-gradusov-8-mm.html;
Профиль для раздвижной двери боковой;душевая;;;6;150,00 ₽;900,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/uplotnitelniy-profil-pvh/114-007-8-profil-uplotnitelniy-8-mm-dlina-2200.html;
Пешка на стекло 13.5 алюминий;;;3000;12;1 500,00 ₽;18 000,00 ₽;;
Пробиль боковой Слайд;Коричневый;;2000;6;1 000,00 ₽;6 000,00 ₽;;
Профиль На стекло 13мм нержа1мм;хром;;2500;22;1 500,00 ₽;33 000,00 ₽;;
Ответная планка F серия;;;;4;300,00 ₽;1 200,00 ₽;;
Труба 10*30 для душевой;матовая;;1860;1;1 600,00 ₽;1 600,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/trubi-i-shtangi-razdvizhnie/truba-113-19.html;
Труба 10*30 для душевой;хром;;950;1;1 000,00 ₽;1 000,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/trubi-i-shtangi-razdvizhnie/tb113-19-3-truba-shtanga-profilnaya-103013000mm.html;
Труба 10*30 для душевой;хром;;920;1;1 000,00 ₽;1 000,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/trubi-i-shtangi-razdvizhnie/tb113-19-3-truba-shtanga-profilnaya-103013000mm.html;
Труба 10*30 для душевой;черная;;3000;1;2 500,00 ₽;2 500,00 ₽;https://tcmo-pro.ru/krasnodar/furnitura_ck/trubi-i-shtangi-razdvizhnie/a002-08-1-truba-shtanga-profilnaya-301015mm2200mm.html;
Ззажим для стекла в профиль 102;;;;10;800,00 ₽;8 000,00 ₽;;
Шпилька 8ка;;;;11;150,00 ₽;1 650,00 ₽;;
Итог;;;;;;104 432,00 ₽;;
