Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Окно ПВХ;"58 белое краус 
прозрачное";1200;1440;2;12 000,00 ₽;24 000,00 ₽;;#ЗНАЧ!
Окно ПВХ;"58 белое краус
 прозрачное";1450;1440;1;14 600,00 ₽;14 600,00 ₽;;#ЗНАЧ!
Балконная дверь ПВХ;"58 белое краус
 прозрачное";710;2360;8;11 800,00 ₽;94 400,00 ₽;;#ЗНАЧ!
Балконная дверь ПВХ;"58 белое краус 
без стекла";810;2360;2;13 300,00 ₽;26 600,00 ₽;;#ЗНАЧ!
Окно ПВХ;"58белое  краус 
без стекла";820;1450;2;8 300,00 ₽;16 600,00 ₽;;#ЗНАЧ!
Окно ПВХ;"58 белое краус
 прозрачное";950;1380;6;8 500,00 ₽;51 000,00 ₽;;#ЗНАЧ!
Окно ПВХ;"58 белое краус
 прозрачное";1220;1290;1;11 000,00 ₽;11 000,00 ₽;;#ЗНАЧ!
"Дверь Алюминий 
холодный";"Стекло матовое
 закал";835;2050;1;40 000,00 ₽;40 000,00 ₽;;#ЗНАЧ!
"Дверь Алюминий
 холодный";"Под электромеханический
замоки ";880;1975;1;35 000,00 ₽;35 000,00 ₽;"цена без замка 
с замком 75000";#ЗНАЧ!
Дверь ПВХ;"Антрацит наружу Сп 2камеры 
солар";1500;2100;1;45 000,00 ₽;45 000,00 ₽;;#ЗНАЧ!
Дверь ПВХ;"Антрацит наружу Сп 2камеры 
солар";800;2200;1;26 000,00 ₽;26 000,00 ₽;;#ЗНАЧ!
Окно ПВХ;"белый 70 Спсолар сильвер
2х камер";1150;1360;1;21 000,00 ₽;21 000,00 ₽;;#ЗНАЧ!
Окно ПВХ;белый 70 32 солар;1220;1550;2;14 000,00 ₽;28 000,00 ₽;;#ЗНАЧ!
Итог;;;;29;;433 200,00 ₽;;
