Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена за метр ;Цена изделия;Стоимость ;Примечание ;Фото;Заметки
Ррасширитель 45;58 серия белый;;1910;2;298,00 ₽;569,18 ₽;1 138,36 ₽;;;
Ррасширитель 45;58 серия белый;;1150;2;298,00 ₽;342,70 ₽;685,40 ₽;;;
Ррасширитель 45;58 серия белый;;1593;2;298,00 ₽;474,71 ₽;949,43 ₽;;;
Ррасширитель 45;58 серия белый;;965;2;298,00 ₽;287,57 ₽;575,14 ₽;;;
Ррасширитель 45;58 серия белый;;1945;2;298,00 ₽;579,61 ₽;1 159,22 ₽;;;
Ррасширитель 45;58 серия белый;;2000;3;298,00 ₽;596,00 ₽;1 788,00 ₽;;;
Ррасширитель 45;58 серия белый;;880;2;298,00 ₽;262,24 ₽;524,48 ₽;;;
Ррасширитель 45;58 серия белый;;915;1;298,00 ₽;272,67 ₽;272,67 ₽;;;
Ррасширитель 45;70 серия белый;;1700;2;325,00 ₽;552,50 ₽;1 105,00 ₽;;;
Ррасширитель 45;58 серия золотой 1 стор;;1370;2;420,00 ₽;575,40 ₽;1 150,80 ₽;;;
Ррасширитель 45;58 серия золотой 1 стор;;960;1;420,00 ₽;403,20 ₽;403,20 ₽;;;
Ррасширитель 45;58 серия золотой 1 стор;;680;1;420,00 ₽;285,60 ₽;285,60 ₽;;;
Соеденитель 016;Белый;;1000;1;500,00 ₽;500,00 ₽;500,00 ₽;;;
Соеденитель 20мм;белый;;1400;1;350,00 ₽;490,00 ₽;490,00 ₽;;;
Соеденитель 20мм;белый;;2650;1;350,00 ₽;927,50 ₽;927,50 ₽;;;
Эркер комплет ;Золотой дуб 1 сторона;;2530;1;1 600,00 ₽;4 048,00 ₽;4 048,00 ₽;;;
К3;58 белый;;1360;26;100,00 ₽;136,00 ₽;3 536,00 ₽;;;
Швелер;6*80;;2400;59;1 500,00 ₽;3 600,00 ₽;212 400,00 ₽;;;
Накладка на швелер;Рехау белое;;2400;65;100,00 ₽;240,00 ₽;15 600,00 ₽;НЕ ПОДХОДИТ К ЭЛЕКС ;;
Накладка на швелер;Рехау антрацит;;2400;53;100,00 ₽;240,00 ₽;12 720,00 ₽;;;
Соединитель 152 ;Антрацит снаружи ;;1085;30;350,00 ₽;379,75 ₽;11 392,50 ₽;;;
Соединитель 152 ;Антрацит снаружи ;;1650;120;350,00 ₽;577,50 ₽;69 300,00 ₽;;;
Эркер комплет ;58 белый;;1360;2;1 100,00 ₽;1 496,00 ₽;2 992,00 ₽;;;
Эркер комплет ;58 белый;;1800;3;1 100,00 ₽;1 980,00 ₽;5 940,00 ₽;;;
Итог;;;;;;;349 883,30 ₽;;;
