Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Ручка Дверная Скоба;коричневый;;;2;1 200,00 ₽;2 400,00 ₽;;
Ручка Дверная Прямая;коричневый;;500;1;1 200,00 ₽;1 200,00 ₽;;
Цилиндр;45*45;;;1;800,00 ₽;800,00 ₽;;
Цилиндр;45*50;;;1;800,00 ₽;800,00 ₽;;
Цилиндр;40*40;;;4;800,00 ₽;3 200,00 ₽;;
Цилиндр;35*55 кл-завертка;;;7;800,00 ₽;5 600,00 ₽;;
Цилиндр;35*35;;;4;800,00 ₽;3 200,00 ₽;;
Петля Дверная ПВХ;Коричневая ;;;3;1 050,00 ₽;3 150,00 ₽;;
Клюшка ворне;105-280;;;1;600,00 ₽;600,00 ₽;;
Клюшка зигения;GB70;;;11;700,00 ₽;7 700,00 ₽;;
Замок дверной ПВХ;25*92;;;1;500,00 ₽;500,00 ₽;;
Замок дверной ПВХ;35*92;;;3;500,00 ₽;1 500,00 ₽;;
Резина ПВХ Притвор;;;;50;30,00 ₽;1 500,00 ₽;;
Ответная планка 9 серия;;;;7;30,00 ₽;210,00 ₽;;
Ответная планка 13 серия;;;;55;20,00 ₽;1 100,00 ₽;;
петля средняя 9 серия;;;;5;450,00 ₽;2 250,00 ₽;;
петля средняя 13 серия;;;;7;450,00 ₽;3 150,00 ₽;;
Петля рамма верхняя Зигения;;;;3;200,00 ₽;600,00 ₽;;
Петля рамма верхняя ворне;;;;10;450,00 ₽;4 500,00 ₽;;
Балконная защелка 13 серия;;;;10;300,00 ₽;3 000,00 ₽;;
Балконная защелка 9 серия;;;;8;300,00 ₽;2 400,00 ₽;;
Петля нижняя створка рамма;;;;4;500,00 ₽;2 000,00 ₽;;
Угловая передача Ворне;;;;2;300,00 ₽;600,00 ₽;;
Дверная ответная планка;левая;;;1;450,00 ₽;450,00 ₽;;
Дверная ответная планка;правая;;;1;450,00 ₽;450,00 ₽;;
Резина Пвх остекление ;;;;10;40,00 ₽;400,00 ₽;;
Нижний переключатель Ворне;;;;1;200,00 ₽;200,00 ₽;;
Петля поворотная ;;;;1;300,00 ₽;300,00 ₽;;
Дверная ручка ;бел-кор 25*92;;;12;400,00 ₽;4 800,00 ₽;;
Дверная ручка ;бел-сер 25*92;;;7;400,00 ₽;2 800,00 ₽;;
Дверная ручка ;бел-бел 25*92;;;2;400,00 ₽;800,00 ₽;;
Дверная ручка ;Кор-кор 25*92;;;2;400,00 ₽;800,00 ₽;;
Дверная ручка ;сер-сер 25*92;;;1;400,00 ₽;400,00 ₽;;
Дверная ручка ;бел-кор туалет;;;3;400,00 ₽;1 200,00 ₽;;
Дверная ручка ;бел-бел туалет;;;1;400,00 ₽;400,00 ₽;;
Поворотно-откидная планка 13;Зигения;;;1;150,00 ₽;150,00 ₽;;
Поворотно-откидная планка 9;Зигения;;;1;150,00 ₽;150,00 ₽;;
Поворотно-откидная планка;Ворне;;;3;150,00 ₽;450,00 ₽;;
Декор на петли;;;;20;10,00 ₽;200,00 ₽;;
Оконная ручка;бел;;;19;150,00 ₽;2 850,00 ₽;;
Оконная ручка узкая;бел;;;1;250,00 ₽;250,00 ₽;;
Оконная ручка;антрацит;;;22;150,00 ₽;3 300,00 ₽;;
Оконная ручка;серебристая;;;6;150,00 ₽;900,00 ₽;;
Ножницы поворотные ворне;;;;2;150,00 ₽;300,00 ₽;;
Оконная ручка;коричневая;;;1;150,00 ₽;150,00 ₽;;
Итог;;;;;;73 660,00 ₽;;
